"ucas","name","postcode","status","application","offer"
"11083","Berkhamsted School","HP4 2BB","Independent","8","4"
"11085","Bishop's Stortford College","CM23 2PJ","Independent","12","4"
"11087","The Hertfordshire & Essex High School and Science College","CM23 5NJ","Maintained","15","6"
"11088","St Marys Catholic School, Bishops Stor","CM23 2NQ","Maintained","9","3"
"11096","The Broxbourne School","EN10 7DD","Maintained","5","<3"
"11097","Queen's School, Bushey","WD23 2TY","Maintained","10","<3"
"11098","Bushey Meads School","WD23 4PA","Maintained","4","<3"
"11101","St Margaret's School, Bushey","WD23 1DT","Independent","<3","<3"
"11104","Goffs Academy","EN7 5QW","Maintained","8","<3"
"11108","Southgate School","EN4 0BL","Maintained","3","<3"
"11109","East Barnet School, Barnet","EN4 8PU","Maintained","3","3"
"11110","Aldenham School","WD6 3AJ","Independent","<3","<3"
"11111","Haberdashers? Boys? School","WD6 3AF","Independent","37","9"
"11114","Roundwood Park School, Harpenden","AL5 3AE","Maintained","14","4"
"11115","St George's School, Harpenden","AL5 4TD","Maintained","16","4"
"11116","Chancellors School, Hatfield","AL9 7BN","Maintained","5","<3"
"11117","Bishop's Hatfield Girls' School","AL10 8NL","Maintained","4","<3"
"11120","Queenswood School, Hatfield","AL9 6NS","Independent","<3","<3"
"11124","Longdean School","HP3 8JB","Maintained","3","<3"
"11126","Hemel Hempstead School","HP1 1TX","Maintained","3","<3"
"11128","Haileybury & Imperial Service College, Hertford","SG13 7NU","Independent","18","3"
"11129","Richard Hale School, Hertford","SG13 8EN","Maintained","7","<3"
"11133","Hitchin Boys School","SG5 1JB","Maintained","6","<3"
"11134","Hitchin Girls School","SG4 9RS","Maintained","3","<3"
"11135","Princess Helena College","SG4 7RT","Independent","<3","<3"
"11136","Lambeth College, Clapham Centre","SW4 9BL","Maintained","<3","<3"
"11138","The Highfield School, Letchworth","SG6 3QA","Maintained","<3","<3"
"11139","Fearnhill School","SG6 4BA","Maintained","<3","<3"
"11142","St Francis' College","SG6 3PJ","Independent","4","<3"
"11145","Rickmansworth School","WD3 3AQ","Maintained","9","<3"
"11146","Royal Masonic School for Girls","WD3 4HF","Independent","8","3"
"11147","St Joan of Arc Catholic School","WD3 1HG","Maintained","3","<3"
"11152","Beaumont School, St Albans","AL4 0XB","Maintained","14","<3"
