"ucas","name","application","offer"
"11231","Victoria College, Jersey","5","<3"
"11232","Jersey College for Girls","8","4"
"11233","Norton Knatchbull School, Ashford","3","<3"
"11234","Highworth Grammar School","10","<3"
"11235","Ashford School","3","<3"
"11237","Langley Park School for Girls","7","<3"
"11238","The Langley Park School for Boys","5","<3"
"11242","Beths Grammar School","14","<3"
"11244","Townley Grammar School","15","<3"
"11245","","4","<3"
"11247","Ballakermeen High School","<3","<3"
"11248","Lytchett Minster School","4","<3"
"11249","Dane Court Grammar School","9","3"
"11255","Bromley High School","3","<3"
"11256","Bullers Wood School","7","3"
"11259","Hayes School","6","<3"
"11265","Ravens Wood School","4","<3"
"11267","Barton Court Grammar School","5","<3"
"11270","Kent College,Canterbury","<3","<3"
"11271","Kings School, Canterbury","14","4"
"11272","Simon Langton School for Boys","12","4"
"11273","Simon Langton Girls' Grammar School","8","<3"
"11274","St Edmund's School, Canterbury","<3","<3"
"11276","Holcombe Grammar School","3","<3"
"11277","Fort Pitt Grammar School","5","<3"
"11280","New College, Swindon","5","<3"
"11284","Farringtons School","<3","<3"
"11286","Benenden School","15","3"
"11287","Cranbrook School","<3","<3"
"11286","Benenden School","<3","<3"
"11287","Cranbrook School","7","<3"
"11289","Dartford Grammar School for Boys","16","3"
"11290","Dartford Grammar School for Girls","11","4"
"11295","Dover Grammar School For Boys                                                -57","57","<3"
"11296","Dover Grammar School for Girls","6","<3"
"11298","Duke of Yorks Royal Military School                                         Redacted Acceptance Ra..","<3","<3"
"11301","Queen Elizabeth's Grammar School,","<3","<3"
"11304","","6","<3"
"11306","Harvey Grammar School","<3","<3"
"11309","Rainham Mark Grammar School","5","<3"
"11310","Bethany School","3","<3"
"11312","Gravesend Grammar School","6","<3"
"11315","Blessed Hugh Faringdon Catholic School","<3","<3"
"11320","Clyst Vale Community College","<3","<3"
"11321","Maidstone Grammar School","4","<3"
"11322","Maidstone Grammar School for Girls","5","<3"
"11323","Oakwood Park Grammar School","4","<3"
"11324","Invicta Grammar School","8","3"
"11329","Merthyr Tydfil College","<3","<3"
"11334","Newstead Wood School","24","7"
"11337","","42","<3"
"11342","St Lawrence College, Ramsgate","3","<3"
"11343","King's Rochester","<3","<3"
"11344","Rochester Grammar School","9","<3"
"11345","","6","<3"
"11346","Sir Roger Manwoods Grammar School","<3","<3"
"11347","Sevenoaks School","67","15"
"11350","Walthamstow Hall, Sevenoaks","3","<3"
"11355","Bishop Challoner School, Bromley","3","<3"
"11356","Chislehurst and Sidcup Grammar","<3","<3"
"11360","Borden Grammar School","<3","<3"
"11364","Sutton Valence School","<3","<3"
"11366","Homewood School & VI Form Centre Tenterden","<3","<3"
"11369","The Judd School, Tonbridge","41","9"
"11372","Tonbridge Grammar School","16","4"
"11373","Tonbridge School","49","13"
"11374","Weald of Kent Grammar School","7","<3"
"11376","Concord College","27","4"
"11379","Kent College, Tunbridge Wells","5","<3"
"11380","Tunbridge Wells Girls' Grammar School","6","<3"
"11382","The Skinners' School","10","6"
"11383","","9","<3"
"11385","Bexley Grammar School, Welling","13","5"
"11387","WG6","<3","<3"
"11393","Ashton Sixth Form College","22","5"
"11399","Furness College","<3","<3"
"11402","Blackburn College","<3","<3"
"11409","St Wilfrid's CofE Academy","3","<3"
"11410","Stonyhurst College","9","<3"
"11411","Westholme School, Blackburn","4","<3"
"11415","Crickhowell High School","3","<3"
"11416","The Blackpool Sixth Form College","14","4"
"11424","Bolton School Boys Division","6","<3"
"11425","Bolton School Girls' Division","4","<3"
"11427","Canon Slade Cof E School","<3","<3"
"11430","Gairloch High School","<3","<3"
"11434","Bolton VI Form College","5","<3"
"11436","Thornleigh Sixth Form","<3","<3"
"11437","Turton School","4","<3"
"11445","Burnley College","8","<3"
"11447","","16","<3"
"11448","Bury Grammar School","5","<3"
"11453","North Chadderton School","4","<3"
"11458","Clitheroe Royal Grammar School","20","3"
"11467","Rossall School","5","<3"
"11468","Glenthorne High School","9","<3"
"11471","Rivington & Blackrod High School, Bolton","<3","<3"
"11477","Kirkham Grammar School","<3","<3"
"11482","Lancaster Girls Grammar School","<3","<3"
"11477","Kirkham Grammar School","<3","<3"
"11482","Lancaster Girls Grammar School","7","<3"
"11485","Ripley St Thomas Church of England Academy","<3","<3"
"11486","Lancaster Royal Grammar School","20","5"
"11491","CATS College Cambridge","3","<3"
"11497","The Belvedere Academy","3","<3"
"11498","The Blue Coat School, Liverpool","21","6"
"11501","Cardinal Heenan High School, Liverpool","5","3"
"11509","Twycross House School, Atherstone","4","<3"
"11511","Formby High School","5","<3"
"11512","Gateacre Community Comprehensive School                                      -61","61","<3"
"11520","King David High School, Liverpool","<3","<3"
"11530","Maricourt Catholic High School","4","<3"
"11531","St John Bosco Arts College, Liverpool","<3","<3"
"11533","Merchant Taylors' Boys' School","3","<3"
"11542","Calderstones School","6","<3"
"11544","City of Liverpool College University Centre","<3","<3"
"11548","Archbishop Blanch C of E High School","3","<3"
"11549","St Edward's College","6","<3"
"11550","St Francis Xavier's College, Liverpool","<3","<3"
"11552","St Hildas C of E High School","<3","<3"
"11554","St Margarets Church of England Academy","<3","<3"
"11555","St Marys College, Liverpool","3","<3"
"11563","West Derby School","3","<3"
"11573","Chetham's School of Music","4","3"
"11588","Loreto College, Manchester","30","10"
"11591","Manchester Grammar School","40","14"
"11592","Manchester High School for Girls, Manchester","<3","<3"
"11604","Parrs Wood High School, Manchester","5","<3"
"11609","St Bede's College","4","<3"
"11615","Stretford Grammar School","9","<3"
"11617","Urmston Grammar","9","3"
"11620","Whalley Range","11","<3"
"11623","William Hulme's Grammar School Academy","<3","<3"
"11624","Withington Girls' School","21","4"
"11626","Xaverian College","36","6"
"11636","Nelson and Colne College","6","<3"
"11638","The Blue Coat CofE School, Oldham","17","<3"
"11645","Oldham Hulme Grammar Schools","<3","<3"
"11649","Ormskirk Academy","<3","<3"
"11650","Scarisbrick Hall School","<3","<3"
"11660","Cardinal Newman College, Preston","33","4"
"11676","Bacup and Rawtenstall Grammar School","6","<3"
"11682","Salford City College, Pendleton Centre","6","<3"
"11683","New City College, Tower Hamlets College","<3","<3"
"11688","Christ the King Catholic High School, Southport","<3","<3"
"11689","King George V College","<3","<3"
"11698","Rainford High Technology College","<3","<3"
"11705","Stafford Grammar School","<3","<3"
"11709","Priestley College","9","4"
"11713","The Archbishop's School","<3","<3"
"11718","St John Rigby RC Sixth Form College","12","5"
"11722","Winstanley College","58","9"
"11728","Ashby School","4","<3"
"11729","Archbishop Beck Catholic Sports College","<3","<3"
"11731","Castle Rock School","<3","<3"
"11732","The Hinckley School and Sixth Form Centre","<3","<3"
"11735","The Beauchamp College","7","<3"
"11738","The City of Leicester College","<3","<3"
"11741","De Lisle College","<3","<3"
"11742","St Pauls Catholic Comprehensive School, Leice..","<3","<3"
"11743","Gateway VI Form College","<3","<3"
"11745","Leicester High School for Girls","3","<3"
"11746","Ratcliffe College","4","<3"
"11751","Loughborough Grammar School, Loughborough","<3","<3"
"11752","Loughborough High School","6","<3"
"11754","Loughborough Amherst School","<3","<3"
"11755","Brooke House College - Top Courses","<3","<3"
"11756","Robert Smyth Academy (formerly Robert","4","<3"
"11760","Lutterworth College","<3","<3"
"11756","Robert Smyth Academy (formerly Robert Smyth..","<3","<3"
"11760","Lutterworth College                                                          Min. Number of Records","<3","<3"
"11761","Wigston College","<3","<3"
"11762","Queen Elizabeth's Grammar, Alford - a Selectiv..","<3","<3"
"11765","The Boston Grammar School                                                     -57","57","<3"
"11766","Boston High School","<3","<3"
"11768","Bourne Grammar School","12","3"
"11771","Ysgol Bro Teifi","<3","<3"
"11775","The Queen Elizabeth's High School, Gainsboro..","<3","<3"
"11777","Kesteven & Grantham Girls School","<3","<3"
"11778","Kings School, Grantham","12","3"
"11780","James Young High School, Livingston","<3","<3"
"11786","Queen Elizabeth's Grammar School, Lincs","<3","<3"
"11787","Caistor Grammar School, Market Rasen","5","<3"
"11791","Lincoln Christ's Hospital School","<3","<3"
"11794","St Ninians High School, Giffnock","<3","<3"
"11795","The King Edward VI Grammar School, Louth","<3","<3"
"11796","De Aston School","<3","<3"
"11800","John Leggott Sixth Form College","23","6"
"11802","The Skegness Grammar School","3","<3"
"11803","Carre's Grammar School","<3","<3"
"11804","Kesteven and Sleaford High School","<3","<3"
"11805","St George's Academy, Sleaford","<3","<3"
"11807","Spalding Grammar School","4","<3"
"11808","Spalding High School, Spalding","3","<3"
"11815","St Paul's School, London","73","28"
"11823","Central Foundation Girls School","<3","<3"
"11824","Stepney All Saints School","<3","<3"
"11828","Mulberry School for Girls","10","<3"
"11830","Leyton VI Form College, London","7","<3"
